FISCAL_YEAR,QUARTER,HEALTH_AUTHORITY,HOSPITAL_NAME,PROCEDURE_GROUP,WAITING,COMPLETED,PERCENTILE_COMP_50TH,PERCENTILE_COMP_90TH
2025/26,Q1,All Health Authorities,All Facilities,Abdominoplasty,87,63,7.3,29
2025/26,Q1,All Health Authorities,All Facilities,All Other Procedures,2397,2441,4.7,21.9
2025/26,Q1,All Health Authorities,All Facilities,All Procedures,92717,76071,6,30.6
2025/26,Q1,All Health Authorities,All Facilities,Aortic Aneurysm Repair,57,134,3.3,11.1
2025/26,Q1,All Health Authorities,All Facilities,Appendectomy,72,100,6,16.2
2025/26,Q1,All Health Authorities,All Facilities,Bariatric Surgery,111,111,6.3,35.6
2025/26,Q1,All Health Authorities,All Facilities,Biopsy in OR,373,567,2.4,9.1
2025/26,Q1,All Health Authorities,All Facilities,Bladder Surgery,904,1382,4,15.5
2025/26,Q1,All Health Authorities,All Facilities,Bowel Resection,375,677,3,10.1
2025/26,Q1,All Health Authorities,All Facilities,Breast Biopsy,122,318,3,8
2025/26,Q1,All Health Authorities,All Facilities,Breast Reconstruction,395,350,4.4,35.2
2025/26,Q1,All Health Authorities,All Facilities,Breast Reduction,1776,691,10.1,49
2025/26,Q1,All Health Authorities,All Facilities,CSF Drainage,29,47,0.9,5.5
2025/26,Q1,All Health Authorities,All Facilities,Cataract Surgery,16815,21279,5,21.7
2025/26,Q1,All Health Authorities,All Facilities,Cholecystectomy,1267,1411,5.3,20.7
2025/26,Q1,All Health Authorities,All Facilities,Colostomy/Ileostomy,169,171,5.1,25.3
2025/26,Q1,All Health Authorities,All Facilities,Cone Biopsy,58,129,3.9,10.9
2025/26,Q1,All Health Authorities,All Facilities,Cranial Surgery,170,299,2.6,15.5
2025/26,Q1,All Health Authorities,All Facilities,Cyst/Ganglion Removal,307,253,6.9,25.5
2025/26,Q1,All Health Authorities,All Facilities,D&C and Related Surgery,1084,1448,4.3,16.3
2025/26,Q1,All Health Authorities,All Facilities,Dental Surgery,3589,2068,9,38.1
2025/26,Q1,All Health Authorities,All Facilities,Endarterectomy,86,200,2.3,6.3
2025/26,Q1,All Health Authorities,All Facilities,Esophagectomy,34,39,3.7,18.9
2025/26,Q1,All Health Authorities,All Facilities,Examination Under Anaesthetic,428,399,5.1,21.2
2025/26,Q1,All Health Authorities,All Facilities,Excision Gynecomastia,61,34,18.9,43.5
2025/26,Q1,All Health Authorities,All Facilities,Excision Lesion/Tumour,992,1041,4.9,18.1
2025/26,Q1,All Health Authorities,All Facilities,Facial Bone Reconstruction,317,201,10.4,39.6
2025/26,Q1,All Health Authorities,All Facilities,Fallopian Tube/Ovarian Surgery,1181,887,8.4,32.5
2025/26,Q1,All Health Authorities,All Facilities,Fistula Repair - Non Vascular,100,86,6.7,34.5
2025/26,Q1,All Health Authorities,All Facilities,Foot/Ankle Surgery,476,189,18,49.1
2025/26,Q1,All Health Authorities,All Facilities,Foreign Body Removal Surgery,54,63,3.1,7.7
2025/26,Q1,All Health Authorities,All Facilities,Fracture Repair,202,493,0.9,8.5
2025/26,Q1,All Health Authorities,All Facilities,Free Flap Graft,57,62,3.6,26.3
2025/26,Q1,All Health Authorities,All Facilities,Gastrostomy/Jejunostomy,31,18,1.5,4.8
2025/26,Q1,All Health Authorities,All Facilities,Hand/Wrist Surgery,530,492,5,24.1
2025/26,Q1,All Health Authorities,All Facilities,Hernia Repair - Abdominal,4516,3578,8.1,32.1
2025/26,Q1,All Health Authorities,All Facilities,Hernia Repair - Hiatal,205,114,13.4,33.1
2025/26,Q1,All Health Authorities,All Facilities,Hip Replacement,5067,2279,19,51.4
2025/26,Q1,All Health Authorities,All Facilities,Kidney/Bladder Stone Removal,547,795,4.1,12.9
2025/26,Q1,All Health Authorities,All Facilities,Knee - ACL Repair,1062,624,8,28
2025/26,Q1,All Health Authorities,All Facilities,Knee - Meniscectomy,590,451,8.4,30.9
2025/26,Q1,All Health Authorities,All Facilities,Knee Arthroscopy,872,627,7,25.6
2025/26,Q1,All Health Authorities,All Facilities,Knee Replacement,9703,3391,21.7,54.9
2025/26,Q1,All Health Authorities,All Facilities,Laparoscopy,223,221,4.6,22.4
2025/26,Q1,All Health Authorities,All Facilities,Laparotomy,52,47,2.7,19
