Reporting level,Province,Region,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Alberta,,Bladder Cancer Surgery,50th Percentile,2008,Days,
Provincial,Alberta,,Bladder Cancer Surgery,90th Percentile,2008,Days,
Provincial,Alberta,,Bladder Cancer Surgery,Volume,2008,Number of cases,
Provincial,Alberta,,Breast Cancer Surgery,50th Percentile,2008,Days,
Provincial,Alberta,,Breast Cancer Surgery,90th Percentile,2008,Days,
Provincial,Alberta,,Breast Cancer Surgery,Volume,2008,Number of cases,
Provincial,Alberta,,CABG,% Meeting Benchmark,2008,Proportion,99.0
Provincial,Alberta,,CABG,50th Percentile,2008,Days,7.0
Provincial,Alberta,,CABG,90th Percentile,2008,Days,83.0
Provincial,Alberta,,CABG,Volume,2008,Number of cases,
Provincial,Alberta,,Cataract Surgery,% Meeting Benchmark,2008,Proportion,71.0
Provincial,Alberta,,Cataract Surgery,50th Percentile,2008,Days,70.0
Provincial,Alberta,,Cataract Surgery,90th Percentile,2008,Days,199.0
Provincial,Alberta,,Cataract Surgery,Volume,2008,Number of cases,8662.0
Provincial,Alberta,,Colorectal Cancer Surgery,50th Percentile,2008,Days,
Provincial,Alberta,,Colorectal Cancer Surgery,90th Percentile,2008,Days,
Provincial,Alberta,,Colorectal Cancer Surgery,Volume,2008,Number of cases,
Provincial,Alberta,,CT Scan,50th Percentile,2008,Days,10.0
Provincial,Alberta,,CT Scan,90th Percentile,2008,Days,39.0
Provincial,Alberta,,CT Scan,Volume,2008,Number of cases,
Provincial,Alberta,,Hip Fracture Repair,% Meeting Benchmark,2008,Proportion,
Provincial,Alberta,,Hip Fracture Repair,50th Percentile,2008,Hours,
Provincial,Alberta,,Hip Fracture Repair,90th Percentile,2008,Hours,
Provincial,Alberta,,Hip Fracture Repair,Volume,2008,Number of cases,
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2008,Proportion,
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2008,Hours,
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2008,Hours,
Provincial,Alberta,,Hip Fracture Repair/Emergency and Inpatient,Volume,2008,Number of cases,
Provincial,Alberta,,Hip Replacement,% Meeting Benchmark,2008,Proportion,77.0
Provincial,Alberta,,Hip Replacement,50th Percentile,2008,Days,103.0
Provincial,Alberta,,Hip Replacement,90th Percentile,2008,Days,255.0
Provincial,Alberta,,Hip Replacement,Volume,2008,Number of cases,
Provincial,Alberta,,Knee Replacement,% Meeting Benchmark,2008,Proportion,72.0
Provincial,Alberta,,Knee Replacement,50th Percentile,2008,Days,123.0
Provincial,Alberta,,Knee Replacement,90th Percentile,2008,Days,299.0
Provincial,Alberta,,Knee Replacement,Volume,2008,Number of cases,
Provincial,Alberta,,Lung Cancer Surgery,50th Percentile,2008,Days,
Provincial,Alberta,,Lung Cancer Surgery,90th Percentile,2008,Days,
Provincial,Alberta,,Lung Cancer Surgery,Volume,2008,Number of cases,
Provincial,Alberta,,MRI Scan,50th Percentile,2008,Days,41.0
Provincial,Alberta,,MRI Scan,90th Percentile,2008,Days,136.0
Provincial,Alberta,,MRI Scan,Volume,2008,Number of cases,40634.0
Provincial,Alberta,,Prostate Cancer Surgery,50th Percentile,2008,Days,
Provincial,Alberta,,Prostate Cancer Surgery,90th Percentile,2008,Days,
Provincial,Alberta,,Prostate Cancer Surgery,Volume,2008,Number of cases,
Provincial,Alberta,,Radiation Therapy,% Meeting Benchmark,2008,Proportion,
Provincial,Alberta,,Radiation Therapy,50th Percentile,2008,Days,
Provincial,Alberta,,Radiation Therapy,90th Percentile,2008,Days,
Provincial,Alberta,,Radiation Therapy,Volume,2008,Number of cases,
Provincial,British Columbia,,Bladder Cancer Surgery,50th Percentile,2008,Days,
Provincial,British Columbia,,Bladder Cancer Surgery,90th Percentile,2008,Days,
Provincial,British Columbia,,Bladder Cancer Surgery,Volume,2008,Number of cases,
Provincial,British Columbia,,Breast Cancer Surgery,50th Percentile,2008,Days,
Provincial,British Columbia,,Breast Cancer Surgery,90th Percentile,2008,Days,
Provincial,British Columbia,,Breast Cancer Surgery,Volume,2008,Number of cases,
Provincial,British Columbia,,CABG,% Meeting Benchmark,2008,Proportion,91.0
Provincial,British Columbia,,CABG,50th Percentile,2008,Days,43.0
Provincial,British Columbia,,CABG,90th Percentile,2008,Days,109.0
Provincial,British Columbia,,CABG,Volume,2008,Number of cases,
Provincial,British Columbia,,Cataract Surgery,% Meeting Benchmark,2008,Proportion,78.0
Provincial,British Columbia,,Cataract Surgery,50th Percentile,2008,Days,55.0
Provincial,British Columbia,,Cataract Surgery,90th Percentile,2008,Days,171.0
Provincial,British Columbia,,Cataract Surgery,Volume,2008,Number of cases,22035.0
Provincial,British Columbia,,Colorectal Cancer Surgery,50th Percentile,2008,Days,
Provincial,British Columbia,,Colorectal Cancer Surgery,90th Percentile,2008,Days,
Provincial,British Columbia,,Colorectal Cancer Surgery,Volume,2008,Number of cases,
Provincial,British Columbia,,CT Scan,50th Percentile,2008,Days,
